dataset,score,num_clusters,method,trial
zhong_prefrontal.h5ad,0.25325983960221704,13,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,13,gm,0
zhong_prefrontal.h5ad,0.1688215162936961,14,spectral,0
zhong_prefrontal.h5ad,0.5582987657773425,14,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,14,gm,0
zhong_prefrontal.h5ad,0.1842346380869024,15,spectral,0
zhong_prefrontal.h5ad,0.4754703875040438,15,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,15,gm,0
zhong_prefrontal.h5ad,0.17848915394988862,16,spectral,0
zhong_prefrontal.h5ad,0.5006999522347689,16,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,16,gm,0
zhong_prefrontal.h5ad,0.10339381805433377,17,spectral,0
zhong_prefrontal.h5ad,0.6691461020959957,17,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,17,gm,0
zhong_prefrontal.h5ad,0.11369124984485725,18,spectral,0
zhong_prefrontal.h5ad,0.47303734442759715,18,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,18,gm,0
zhong_prefrontal.h5ad,0.10489086598397307,19,spectral,0
zhong_prefrontal.h5ad,0.4641465417325857,19,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,19,gm,0
zhong_prefrontal.h5ad,0.12150281746668588,10,spectral,1
zhong_prefrontal.h5ad,0.5269395246947791,10,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,10,gm,1
zhong_prefrontal.h5ad,0.11129773049810908,11,spectral,1
zhong_prefrontal.h5ad,0.24880477847141597,11,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,11,gm,1
zhong_prefrontal.h5ad,0.15682497396007478,12,spectral,1
zhong_prefrontal.h5ad,0.2979382213728307,12,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,12,gm,1
zhong_prefrontal.h5ad,0.1423283367055191,13,spectral,1
zhong_prefrontal.h5ad,0.25325983960221704,13,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,13,gm,1
zhong_prefrontal.h5ad,0.14348316781047138,14,spectral,1
zhong_prefrontal.h5ad,0.5582987657773425,14,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,14,gm,1
zhong_prefrontal.h5ad,0.19158755398712976,15,spectral,1
zhong_prefrontal.h5ad,0.4754703875040438,15,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,15,gm,1
zhong_prefrontal.h5ad,0.17994295482309625,16,spectral,1
zhong_prefrontal.h5ad,0.5006999522347689,16,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,16,gm,1
zhong_prefrontal.h5ad,0.08745557131147395,17,spectral,1
zhong_prefrontal.h5ad,0.6691461020959957,17,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,17,gm,1
zhong_prefrontal.h5ad,0.12566373651722826,18,spectral,1
zhong_prefrontal.h5ad,0.47303734442759715,18,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,18,gm,1
zhong_prefrontal.h5ad,0.09382501633650114,19,spectral,1
zhong_prefrontal.h5ad,0.4641465417325857,19,kmeans,1
zhong_prefrontal.h5ad,0.13245717507282434,19,gm,1
zhong_prefrontal.h5ad,0.07806036476519983,10,spectral,2
zhong_prefrontal.h5ad,0.5269395246947791,10,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,10,gm,2
zhong_prefrontal.h5ad,0.11092204856846248,11,spectral,2
zhong_prefrontal.h5ad,0.24880477847141597,11,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,11,gm,2
zhong_prefrontal.h5ad,0.16104794783073045,12,spectral,2
zhong_prefrontal.h5ad,0.2979382213728307,12,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,12,gm,2
zhong_prefrontal.h5ad,0.14183019534640884,13,spectral,2
zhong_prefrontal.h5ad,0.25325983960221704,13,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,13,gm,2
zhong_prefrontal.h5ad,0.14348316781047138,14,spectral,2
zhong_prefrontal.h5ad,0.5582987657773425,14,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,14,gm,2
zhong_prefrontal.h5ad,0.17041706652977368,15,spectral,2
zhong_prefrontal.h5ad,0.4754703875040438,15,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,15,gm,2
zhong_prefrontal.h5ad,0.1338870485574768,16,spectral,2
zhong_prefrontal.h5ad,0.5006999522347689,16,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,16,gm,2
zhong_prefrontal.h5ad,0.1105442934563136,17,spectral,2
zhong_prefrontal.h5ad,0.6691461020959957,17,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,17,gm,2
zhong_prefrontal.h5ad,0.10937346455691611,18,spectral,2
zhong_prefrontal.h5ad,0.47303734442759715,18,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,18,gm,2
zhong_prefrontal.h5ad,0.11344627542854223,19,spectral,2
zhong_prefrontal.h5ad,0.4641465417325857,19,kmeans,2
zhong_prefrontal.h5ad,0.13245717507282434,19,gm,2
zhong_prefrontal.h5ad,0.12259208041019165,10,spectral,3
zhong_prefrontal.h5ad,0.5269395246947791,10,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,10,gm,3
zhong_prefrontal.h5ad,0.11076215687343502,11,spectral,3
zhong_prefrontal.h5ad,0.24880477847141597,11,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,11,gm,3
zhong_prefrontal.h5ad,0.16115565114292724,12,spectral,3
zhong_prefrontal.h5ad,0.2979382213728307,12,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,12,gm,3
zhong_prefrontal.h5ad,0.14234493357900518,13,spectral,3
zhong_prefrontal.h5ad,0.25325983960221704,13,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,13,gm,3
zhong_prefrontal.h5ad,0.1427247714670116,14,spectral,3
zhong_prefrontal.h5ad,0.5582987657773425,14,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,14,gm,3
zhong_prefrontal.h5ad,0.18472071278964064,15,spectral,3
zhong_prefrontal.h5ad,0.4754703875040438,15,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,15,gm,3
zhong_prefrontal.h5ad,0.1429626706176111,16,spectral,3
zhong_prefrontal.h5ad,0.5006999522347689,16,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,16,gm,3
zhong_prefrontal.h5ad,0.16062314452407336,17,spectral,3
zhong_prefrontal.h5ad,0.6691461020959957,17,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,17,gm,3
zhong_prefrontal.h5ad,0.09975449665559713,18,spectral,3
zhong_prefrontal.h5ad,0.47303734442759715,18,kmeans,3
